source,source_url,saved_filename,bytes,content_type
B_td,https://products.rubezh.ru/upload/iblock/01d/v0g7cf232797yjkpwornljzjj3v9a1z1/c21ff9d4_5a3f_11eb_80d7_48df3707765d_071a6a6e_06c0_11ee_adb0_48df3776c5b8.png,c21ff9d4_5a3f_11eb_80d7_48df3707765d_071a6a6e_06c0_11ee_adb0_48df3776c5b8.png,719876,image/png
B_td,https://products.rubezh.ru/upload/iblock/082/eodh1lpkz1il1v01rhnq9aevbumuti1n/03a4a675_8b12_11ec_80db_48df3707765d_38c22888_c566_11ec_80dd_48df3707765d.png,03a4a675_8b12_11ec_80db_48df3707765d_38c22888_c566_11ec_80dd_48df3707765d.png,137925,image/png
B_td,https://products.rubezh.ru/upload/iblock/08a/nhht9wfpdaiymggjmjf8pyipzalua66y/21f1509c_ac26_11ec_80dd_48df3707765d_e29398da_22ba_11ed_80df_48df3707765d.png,21f1509c_ac26_11ec_80dd_48df3707765d_e29398da_22ba_11ed_80df_48df3707765d.png,88688,image/png
B_td,https://products.rubezh.ru/upload/iblock/093/3f836fzk881x1zgtyzt001yxeb68ecmp/8ac6513d_8b10_11ec_80db_48df3707765d_e991e191_c49f_11ec_80dd_48df3707765d.png,8ac6513d_8b10_11ec_80db_48df3707765d_e991e191_c49f_11ec_80dd_48df3707765d.png,140941,image/png
B_td,https://products.rubezh.ru/upload/iblock/0b2/gy63xypanskkjdezedu9ipwsc7x0dly7/8f82d72a_d2f4_11e9_80cf_48df3707765d_25ceb1c0_d2ed_11ea_80d4_48df3707765d.png,8f82d72a_d2f4_11e9_80cf_48df3707765d_25ceb1c0_d2ed_11ea_80d4_48df3707765d.png,253464,image/png
B_td,https://products.rubezh.ru/upload/iblock/134/2wxa68d9mb190s0citwudwgxinkzpgug/e2794890_8b0e_11ec_80db_48df3707765d_9b31169a_c49f_11ec_80dd_48df3707765d.png,e2794890_8b0e_11ec_80db_48df3707765d_9b31169a_c49f_11ec_80dd_48df3707765d.png,117879,image/png
B_td,https://products.rubezh.ru/upload/iblock/1b6/kxzbhjo6fospsbgqldou175axursb9mi/caed7f0d_121d_11ed_80de_48df3707765d_4056b696_3e2f_11ed_80e0_48df3707765d.png,caed7f0d_121d_11ed_80de_48df3707765d_4056b696_3e2f_11ed_80e0_48df3707765d.png,1012483,image/png
B_td,https://products.rubezh.ru/upload/iblock/1c8/ss1l37oj6v3f8paycng8vu6dushpz4s3/8f82d733_d2f4_11e9_80cf_48df3707765d_25ceb1c2_d2ed_11ea_80d4_48df3707765d.jpeg,8f82d733_d2f4_11e9_80cf_48df3707765d_25ceb1c2_d2ed_11ea_80d4_48df3707765d.jpeg,27996,image/jpeg
B_td,https://products.rubezh.ru/upload/iblock/20f/pvnycq18u5i9cc38se90xvqu1v1k9pt7/c0125adf_8b11_11ec_80db_48df3707765d_56ef4345_c566_11ec_80dd_48df3707765d.png,c0125adf_8b11_11ec_80db_48df3707765d_56ef4345_c566_11ec_80dd_48df3707765d.png,137925,image/png
B_td,https://products.rubezh.ru/upload/iblock/21a/ribpdmij3o388pn6ipp3ny20av4f7d0i/e55746ea_121d_11ed_80de_48df3707765d_27334656_3e2f_11ed_80e0_48df3707765d.png,e55746ea_121d_11ed_80de_48df3707765d_27334656_3e2f_11ed_80e0_48df3707765d.png,940939,image/png
